param1,param3,param11,param12,param13,param14,param15,param16,param17,param18,param21,external_id
145293440,1128,10872,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,145293440
145293980,1089,8911,10000.00,187.34,84,13.45,15.60,17.68,15912.56,205.02,145293980
145294080,1961,19039,21000.00,393.41,84,13.45,15.60,37.13,33416.04,430.54,145294080
145294650,1698,7302,9000.00,168.61,84,13.45,15.60,15.92,14321.64,184.53,145294650
145297489,1759,15241,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145297489
145298027,5361,29639,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145298027
145299775,3839,1161,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145299775
145299910,1684,11316,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145299910
145303080,1001,3999,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145303080
145304760,1856,5144,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,145304760
145307441,1416,9584,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145307441
145307646,1586,9414,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145307646
145309495,5130,29870,35000.00,655.67,84,13.45,15.60,61.89,55692.28,717.56,145309495
145312313,1031,11969,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145312313
145318532,2539,2461,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145318532
145318834,1557,12443,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,145318834
145318893,2000,9000,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145318893
145319075,1182,3818,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145319075
145319407,2002,42998,45000.00,843.01,84,13.45,15.60,79.57,71604.84,922.58,145319407
145319440,1576,11424,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145319440
145320332,1392,4608,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145320332
145329496,1056,5944,7000.00,131.14,84,13.45,15.60,12.38,11138.96,143.52,145329496
145333930,1404,17596,19000.00,355.94,84,13.45,15.60,33.60,30233.36,389.54,145333930
145334210,1494,4506,6000.00,112.41,84,13.45,15.60,10.61,9548.04,123.02,145334210
145338207,1765,28235,30000.00,562.01,84,13.45,15.60,53.05,47736.84,615.06,145338207
145338258,1968,11032,13000.00,243.54,84,13.45,15.60,22.99,20686.16,266.53,145338258
145340147,1950,9050,11000.00,206.07,84,13.45,15.60,19.45,17503.48,225.52,145340147
145340163,1306,26694,28000.00,524.54,84,13.45,15.60,49.51,44554.16,574.05,145340163
145340856,1486,22514,24000.00,449.61,84,13.45,15.60,42.44,38189.64,492.05,145340856
145341666,1088,6912,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145341666
145350380,1909,3091,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145350380
145351505,1831,16169,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,145351505
145351840,1097,15903,17000.00,318.47,84,13.45,15.60,30.06,27050.68,348.53,145351840
145351939,1044,27956,29000.00,543.27,84,13.45,15.60,51.28,46145.08,594.55,145351939
145352005,1943,22057,24000.00,449.61,84,13.45,15.60,42.44,38189.64,492.05,145352005
145353036,4348,652,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145353036
145354075,1882,48118,50000.00,936.67,84,13.45,15.60,88.41,79560.28,1025.08,145354075
145356957,1910,20090,22000.00,412.14,84,13.45,15.60,38.90,35006.96,451.04,145356957
145358526,2128,2872,5000.00,93.67,84,13.45,15.60,8.84,7956.28,102.51,145358526
145361322,1750,14250,16000.00,299.74,84,13.45,15.60,28.29,25459.76,328.03,145361322
145361829,1239,16761,18000.00,337.21,84,13.45,15.60,31.83,28642.44,369.04,145361829
145362086,1999,6001,8000.00,149.87,84,13.45,15.60,14.15,12729.88,164.02,145362086
145368777,1585,12415,14000.00,262.27,84,13.45,15.60,24.76,22277.08,287.03,145368777
145370208,1470,10530,12000.00,224.81,84,13.45,15.60,21.22,19095.24,246.03,145370208
145371565,1376,20624,22000.00,412.14,84,13.45,15.60,38.90,35006.96,451.04,145371565
