IdCampanha,iTipoCampanha,Envios,DataInicio
3884,iXS_RUC_NPA_CPay,4965,20250911
3885,iXS_Terminados_NPA_1T,100604,20250915
3886,iXS_Terminados_NPA_2T,18723,20250915
3889,iXS_CCR_SMSA,1978,20250915
3890,iXS_CCR_SMSB,4000,20250915
3891,iXS_CCR_SMSC,7075,20250915
3892,iXS_CCR_SMSD,3717,20250915
3893,iXS_PMS,3142,20250915
3894,iXS_PMS,1797,20250915
3895,iXS_PMS,3423,20250915
3896,iXS_RUC_1T,5311,20250916
3897,iXS_RUC_1T,708,20250916
3898,iXS_RUC_1T,678,20250916
3900,iXS_PCDPMHabit,4988,20250916
3901,iXS_PCD_Auto,800,20250916
3904,iXS_PCDPM_Parcerias,7000,20250918
3905,iXS_RUC_PlafondMinimo,827,20250922
3906,iXS_PCD_Inativos_1T,5677,20250923
3907,iXS_PCDPM_2T,5068,20250923
3909,iXS_RUC_NPA_3T,1000,20250925
3911,iXS_PCD_NPA_1T,5244,20251006
3912,iXS_PCD_NPA_2T,2447,20251006
3913,iXS_RUC_NPA_1T,6741,20251006
3914,iXS_RUC_NPA_2T,1889,20251006
3928,iXS_PCDPMTOP,14740,20251008
3933,iXS_Terminados_NPA_1T,98153,20251013
3934,iXS_Terminados_NPA_2T,18793,20251013
3935,iXS_PMS,2312,20251013
3936,iXS_PMS,2824,20251013
3937,iXS_RUC_2T,4419,20251014
3938,iXS_CCR_SMSA,1006,20251015
3939,iXS_CCR_SMSB,4000,20251015
3940,iXS_CCR_SMSC,2197,20251015
3941,iXS_CCR_SMSD,127,20251015
3942,iXS_RUC_1T,6847,20251015
3943,iXS_PCDPM_2T,6997,20251016
3946,iXS_RUC_PlafondMinimo,1100,20251020
3947,iXS_PCD_NPA_CPay,11996,20251020
3948,iXS_RUC_NPA_CPay,550,20251020
3949,iXS_PCDPM_1T,4418,20251021
3950,iXS_RUC_1T,250,20251021
3951,iXS_RUC_1T,250,20251021
3952,iXS_PCD_Inativos_1T,9792,20251022
3953,iXS_PCDPM_Parcerias,4864,20251022
3954,iXS_PCDPMHabit,31276,20251023
3955,iXS_PCD_Auto,543,20251023
3969,iXS_PCDPMTOP,14974,20251105
3971,iXS_RUC_1T,4261,20251106
3972,iXS_CCR_SMSA,1032,20251106
3973,iXS_CCR_SMSB,4000,20251106
3974,iXS_CCR_SMSC,3500,20251106
3975,iXS_CCR_SMSD,2000,20251106
3981,iXS_PCD_NPA_1T,6183,20251110
3982,iXS_PCD_NPA_2T,10817,20251110
3983,iXS_RUC_NPA_1T,2723,20251110
3984,iXS_RUC_NPA_2T,4277,20251110
